109,13,13,16
110,17,17,17
111,23,13,17
112,15,23,21
113,23,20,21
114,17,13,15
115,1,5,2
116,19,8,15
117,17,16,16
118,5,17,9
119,25,24,21
120,17,21,21
121,22,21,16
122,21,25,21
123,18,21,24
124,18,25,23
125,13,13,15
126,15,13,13
127,13,13,13
128,13,13,17
129,13,17,13
130,21,20,18
131,19,17,13
132,14,5,6
133,13,10,14
134,9,18,9
135,16,9,10
136,17,14,12
137,17,17,13
138,17,13,13
139,9,13,17
140,9,15,12
141,17,17,21
142,13,17,17
143,17,20,18
144,17,16,15
145,12,17,21
146,19,21,9
147,21,17,21
148,21,18,18
149,5,11,9
150,3,9,15
151,5,7,5
152,16,2,6
153,13,21,17
154,17,21,15
155,11,5,10
156,5,9,10
157,7,5,5
158,9,5,17
159,8,5,8
160,5,5,5
161,13,13,13
162,13,13,13
163,15,13,15
164,25,23,18
165,17,18,14
166,12,21,17
167,21,17,16
168,15,18,13
169,13,18,13
170,13,13,21
171,21,17,21
172,17,17,17
173,13,19,21
174,14,16,19
175,19,21,21
176,21,21,21
177,17,21,21
178,21,17,13
179,21,15,17
180,17,21,25
181,24,21,25
182,17,21,20
183,19,21,19
184,13,13,13
185,11,12,16
186,13,13,13
187,14,13,17
188,8,17,16
189,8,20,15
190,13,13,13
191,13,15,13
192,15,13,9
193,17,13,18
194,11,14,17
195,13,9,17
196,6,6,5
197,9,17,9
198,9,11,10
199,9,21,17
200,15,18,21
201,16,19,15
202,13,21,25
203,17,21,23
204,13,13,13
205,8,9,6
206,13,9,5
207,9,9,10
208,13,17,13
209,13,21,17
210,13,13,13
211,13,13,13
212,5,10,9
213,10,1,7
214,13,13,13
215,13,13,13
216,9,9,13
217,9,10,5
218,13,15,13
219,11,5,8
220,9,13,9
221,6,5,5
222,5,5,8
223,15,3,15
224,9,9,5
225,15,10,9
226,21,21,13
227,25,21,25
228,23,21,21
229,20,21,21
230,21,25,21
231,21,17,21
232,17,18,17
233,17,21,21
234,17,18,16
235,21,21,19
236,9,15,17
237,17,21,15
238,14,13,13
239,11,5,7
240,14,10,6
241,13,11,5
242,13,13,18
243,9,9,9
244,9,16,12
245,11,13,9
246,7,8,5
247,6,9,6
248,9,5,13
249,9,12,17
250,9,13,21
251,16,9,19
252,5,23,14
253,13,8,15
254,14,9,16
255,6,9,17
256,10,11,12
257,5,13,4
258,18,13,13
259,5,5,4
260,10,10,15
261,15,16,14
262,13,9,12
263,13,15,15
264,16,9,5
265,16,18,17
266,21,20,20
267,23,16,19
268,23,16,21
269,17,22,15
270,15,14,20
271,11,9,12
272,10,13,7
273,21,14,13
274,25,8,13
275,13,13,13
276,8,13,11
277,21,14,15
278,19,22,20
279,21,20,21
280,11,20,21
281,18,11,6
282,5,17,15
283,19,21,14
284,21,19,16
285,21,21,21
286,21,20,21
287,21,16,9
288,25,17,14
289,21,14,21
290,14,21,21
291,14,13,14
292,23,21,22
293,24,21,25
294,23,24,11
295,9,13,7
296,13,17,13
297,17,17,13
298,13,13,13
299,13,13,13
300,13,13,13
301,13,13,17
302,15,9,4
303,15,13,21
304,25,21,22
305,13,13,13
306,14,13,17
307,13,13,13
308,9,12,14
309,13,13,17
310,18,13,13
311,18,19,16
312,14,15,13
313,14,14,6
314,13,13,13
315,15,13,13
316,9,12,9
317,11,5,13
318,17,21,17
319,8,5,5
320,11,3,5
321,17,13,13
322,13,13,14
323,13,13,13
324,13,17,13
325,18,13,13
326,13,13,13
327,18,16,13
328,16,13,13
329,5,9,11
330,7,9,11
331,5,13,13
332,13,13,13
333,17,12,17
334,24,14,21
335,22,21,19
336,16,15,18
337,19,21,13
338,17,11,9
339,13,14,15
340,17,13,5
341,11,1,5
342,1,5,5
343,17,13,17
344,9,15,13
345,13,13,13
346,8,13,11
347,13,17,21
348,9,5,11
349,11,13,13
350,13,13,13
351,13,13,13
352,13,13,13
353,13,9,13
354,9,6,11
355,15,13,13
356,18,13,13
357,13,13,13
358,13,15,13
359,13,13,13
360,22,19,18
361,9,13,13
362,18,17,13
363,13,13,13
364,15,13,15
365,17,17,17
366,13,13,13
367,13,13,13
368,13,9,5
369,13,13,13
370,9,13,15
371,16,13,13
372,19,20,21
373,13,17,17
374,14,13,13
375,15,14,13
376,13,17,12
377,21,13,21
378,15,13,9
379,12,13,13
380,5,5,17
381,21,21,14
382,13,13,17
383,17,17,20
384,13,13,13
385,10,5,11
386,9,9,13
387,13,21,21
388,18,13,17
389,13,21,16
390,14,21,13
391,13,16,13
392,21,13,21
393,19,16,21
394,23,17,22
395,13,13,13
396,5,13,5
397,21,13,22
398,25,17,11
399,13,14,13
400,9,13,11
401,10,18,17
402,13,17,11
403,13,13,14
404,5,7,5
405,6,5,6
406,5,13,5
407,13,9,13
408,13,13,13
409,13,13,13
410,20,17,25
411,17,17,9
412,14,17,13
413,13,13,25
414,13,13,13
415,13,9,13
416,13,19,10
417,13,17,13
418,8,15,15
419,13,13,13
420,13,13,12
421,9,17,13
422,13,13,13
423,13,17,11
424,13,13,13
425,13,13,17
426,9,9,13
427,13,14,13
428,13,13,13
429,17,21,21
430,13,13,13
431,17,21,21
432,13,13,13
433,19,14,17
434,19,25,13
435,13,13,13
436,13,13,13
437,9,8,3
438,14,11,5
439,13,13,17
440,17,19,13
441,18,21,15
442,18,19,17
443,6,9,13
444,5,9,13
445,6,5,5
446,13,9,13
447,17,19,17
448,11,13,13
449,15,17,11
450,13,15,6
451,21,19,21
452,21,21,21
453,21,13,17
454,21,21,21
455,17,20,21
456,16,21,19
457,7,15,16
458,11,9,11
459,21,17,22
460,13,17,16
461,15,14,13
462,13,13,13
463,25,23,25
464,18,17,13
465,7,21,14
466,13,13,13
467,13,13,14
468,13,13,13
469,13,13,13
470,5,11,12
471,9,16,13
472,13,13,13
473,14,15,13
474,17,17,21
475,9,12,14
476,13,9,13
477,15,9,11
478,14,16,13
479,14,5,13
480,13,13,13
481,13,9,9
482,13,13,13
483,13,13,15
484,21,18,21
485,5,5,5
486,21,14,17
487,19,19,21
488,13,17,14
489,13,13,13
490,13,10,13
491,13,9,10
492,15,13,13
493,14,13,13
494,14,13,13
495,12,13,15
496,11,13,13
497,13,7,7
498,17,21,21
499,14,21,25
500,21,13,17
501,15,13,10
502,17,16,16
503,13,16,13
504,17,13,13
505,15,19,21
506,13,15,16
507,12,15,17
508,16,21,20
509,9,13,13
510,5,9,7
511,13,13,13
512,15,13,12
513,19,13,13
514,11,17,13
515,13,13,15
516,13,15,13
517,13,13,13
518,25,15,25
519,17,9,17
520,13,15,15
521,14,13,13
522,13,13,13
523,13,13,13
524,13,13,13
525,13,14,13
526,13,13,21
527,9,13,13
528,14,13,6
529,9,17,12
530,10,13,13
531,8,5,11
532,15,3,3
533,1,11,5
534,2,9,14
535,9,13,12
536,8,12,14
537,1,1,10
538,21,21,17
539,13,9,13
540,11,5,13
541,1,15,6
542,5,13,5
543,13,10,12
544,1,15,9
545,13,7,14
546,16,13,13
547,13,13,13
548,2,5,8
549,13,13,14
550,5,4,1
551,13,15,9
552,19,17,11
553,25,17,17
554,1,9,3
555,17,9,13
556,19,15,9
557,17,21,15
558,12,5,11
559,10,5,1
560,9,13,17
561,13,13,15
562,13,18,13
563,13,17,15
564,13,13,13
565,16,13,14
566,15,22,21
567,18,16,25
568,13,13,13
569,14,15,16
570,13,13,11
571,9,13,10
572,17,15,13
573,13,13,13
574,20,16,13
575,13,13,13
576,13,13,13
577,9,5,5
578,13,13,13
579,16,13,11
580,11,13,13
581,13,13,13
582,18,13,13
583,13,14,13
584,9,5,11
585,5,17,5
586,13,13,13
587,13,13,13
588,13,13,14
589,5,5,9
590,13,17,11
591,13,13,13
592,13,19,21
593,17,21,17
594,13,19,11
595,17,17,14
596,10,17,17
597,20,20,21
598,25,17,21
599,13,13,13
600,9,12,9
601,13,13,13
602,5,5,1
603,13,13,13
604,5,5,5
605,13,14,13
606,13,13,13
607,13,13,13
608,12,1,13
609,9,7,8
610,7,8,11
611,11,9,1
612,13,7,17
613,7,4,13
614,12,13,7
615,13,4,5
616,9,12,13
617,13,13,13
618,9,9,17
619,13,13,17
620,13,13,14
621,13,13,13
622,13,13,13
623,11,13,10
624,12,9,13
625,13,21,13
626,12,13,14
627,19,13,14
628,13,13,16
629,13,13,13
630,19,17,17
631,16,21,21
632,21,21,15
633,13,21,23
634,24,24,25
635,13,13,13
636,9,17,15
637,17,9,9
638,13,13,13
639,5,3,5
640,13,13,13
641,13,12,13
642,13,13,13
643,13,13,13
644,1,9,5
645,15,13,25
646,10,21,22
647,17,14,21
648,17,5,13
649,13,13,13
650,9,13,13
651,13,9,9
652,13,13,9
653,17,21,17
654,20,9,7
655,5,5,1
656,16,9,10
657,20,12,14
658,13,13,13
659,10,5,1
660,13,13,13
661,18,13,13
662,1,5,9
663,13,13,13
664,13,17,13
665,13,13,13
666,13,9,12
667,21,15,17
668,13,13,13
669,13,13,18
670,13,19,13
671,9,9,7
672,5,10,10
673,13,5,11
674,19,17,21
675,13,13,13
676,13,13,13
677,9,13,13
678,13,11,5
679,13,13,13
680,13,13,17
681,13,13,13
682,15,9,13
683,13,13,13
684,13,21,25
685,13,17,21
686,9,4,6
687,16,9,11
688,15,9,9
689,9,13,9
690,22,21,25
691,13,16,13
692,13,13,13
693,19,13,13
694,21,21,21
695,21,21,21
696,13,13,13
697,21,13,13
698,13,13,13
699,13,21,15
700,13,17,13
701,13,13,13
702,18,21,18
703,9,13,13
704,21,16,15
705,13,13,17
706,17,16,16
707,19,19,18
